esm_dim,r2
0,0.3116946849235851
1,0.48419309343602035
2,0.5659552332984261
3,0.5754340187752132
4,0.6478717592828378
5,0.41550031957018296
6,0.19391911264144968
7,0.36493900258668
8,0.5968946327719019
9,0.36374273818913017
10,0.4825908811253403
11,0.30208137900781096
12,0.42394903249923066
13,0.39137464780151976
14,0.3401450490846354
15,0.2016920461323869
16,0.5563178641959258
17,0.554736789319066
18,0.4672115855332073
19,0.46494294969397887
20,0.5767787157629607
21,0.31831722667133533
22,0.5170060743044358
23,0.5524779462637431
24,0.5381270786694581
25,0.4566899006911598
26,0.6761240579559753
27,0.5165959227648141
28,0.4500765980642948
29,0.665378986125396
30,0.5142056426179409
31,0.6945545662246931
32,0.3293984519724207
33,0.5735559755453817
34,0.44422023038386715
35,0.5711838210774769
36,0.6713815196429453
37,0.4275415351137756
38,0.35387819219481076
39,0.6445960262417902
40,0.6139596700436779
41,0.4752657474984259
42,0.6742884986332797
43,0.47925210615655545
44,0.4667415679118091
45,0.502020694409778
46,0.4517170214761298
47,0.5795161854957214
48,0.6606516608480804
49,0.6365882570414746
50,0.35266871678893097
51,0.4646576865937271
52,0.4981373738963836
53,0.49328713985908845
54,0.4950658245220847
55,0.5280213126100668
56,0.6406454820645497
57,0.24722791575475023
58,0.5959929097517259
59,0.4123573385700806
60,0.3739741318235211
61,0.3915649066783312
62,0.33027393746292777
63,0.3993626285538745
64,0.2876148837403324
65,0.5539578427535705
66,0.40487672273069975
67,0.43092531432727266
68,0.5496851000434815
69,0.2094692392751143
70,0.5360396886297272
71,0.35499488869562
72,0.5022668872178742
73,0.39393728514857673
74,0.3397660590748305
75,0.5246125248847309
76,0.4970020858637342
77,0.4827256010239611
78,0.5666019274441321
79,0.3301485499299107
80,0.5654202061671636
81,0.5301320189798437
82,0.46753404610528104
83,0.6265430020949374
84,0.29744122330642686
85,0.3668374450035843
86,0.3321173611732261
87,0.4254424699205719
88,0.23928160753337901
89,0.2566597341555562
90,0.5668094657294935
91,0.5583554694372803
92,0.5040312036059356
93,0.2499650914355518
94,0.34865756002684845
95,0.4932983059194044
96,0.4559570877325031
97,0.35623815414350135
98,0.6867174305461663
99,0.1431792553848762
100,0.5790771749009116
101,0.6339691385485653
102,0.40127068687115175
103,0.48841755178034596
104,0.7475434039337711
105,0.6406241840432264
106,0.2640316440106669
107,0.3724433114355311
108,0.44012931728984883
109,0.6966101720938801
110,0.5608768136564091
111,0.6237013850380206
112,0.30499567461804
113,0.33325119819937543
114,0.6463399728240298
115,0.3405493192501463
116,0.5343146992448087
117,0.7318363600552148
118,0.48775762174002624
119,0.4403187801936246
120,0.37598493581336356
121,0.46397304198402967
122,0.5393052182262534
123,0.7260005675899777
124,0.5539997932156306
125,0.5563311849968089
126,0.22088917771527383
127,0.6428668362748771
128,0.46522751293704223
129,0.4155780214185929
130,0.4853940179169932
131,0.42175600352787435
132,0.7747663289599385
133,0.43015396866021716
134,0.6037741961420349
135,0.3110015622411726
136,0.4595870895109637
137,0.3961306823152949
138,0.41514093509398875
139,0.6590834933742564
140,0.5774556031639579
141,0.34198168376283233
142,0.4812074052276121
143,0.7328123548161931
144,0.33561487520793676
145,0.3022513492306702
146,0.3411409365933449
147,0.30006570847835945
148,0.32121912595215585
149,0.39102515574582963
150,0.5209676321710192
151,0.2986792213488363
152,0.3658718998581043
153,0.44317268471116744
154,0.7754464178700035
155,0.31926327061151183
156,0.5094621921818361
157,0.3815878169324922
158,0.36156440701046566
159,0.3454474685603035
160,0.5404113132312149
161,0.3861960025509744
162,0.5075320723985026
163,0.36510554702607534
164,0.6501812157559822
165,0.4068912599829153
166,0.421488501306973
167,0.4510526308852072
168,0.44827412785854437
169,0.4489654888332265
170,0.6285763560143558
171,0.6460652018487163
172,0.5048003136342699
173,0.5166499082090665
174,0.5486549883576474
175,0.35523366339669193
176,0.5068140090713318
177,0.2899747322610968
178,0.5536860758928871
179,0.568203146913555
180,0.5369753478331594
181,0.6041876755965905
182,0.5679271245252494
183,0.3397034933452664
184,0.31498972346515597
185,0.47329123056300393
186,0.4081660524757521
187,0.41751021901653884
188,0.35243180578391053
189,0.4994453241612894
190,0.3986197411601461
191,0.7041036587888522
192,0.5159375433970508
193,0.40096422183042435
194,0.48331538668495155
195,0.17533110887306103
196,0.3857790067883883
197,0.3911265120255648
198,0.41647242333278833
199,0.5594574393101586
200,0.4998368461099313
201,0.46607139354942684
202,0.4647338068207363
203,0.5080792162276635
204,0.39117737314875645
205,0.4068836087809218
206,0.45245077021797175
207,0.8939432847187495
208,0.33083069732811154
209,0.5330361622153696
210,0.3604510433164678
211,0.3618662258693046
212,0.3388748035953254
213,0.524990966306041
214,0.43427918191340587
215,0.42843119270572394
216,0.3387895477643609
217,0.25810194071744896
218,0.5476841605467047
219,0.41488265799509594
220,0.5729682248418605
221,0.31672706726833133
222,0.5095183346234631
223,0.3846733444192757
224,0.3336084621802803
225,0.596409894683892
226,0.32652662238888397
227,0.6294912977541669
228,0.2878098194859585
229,0.3057128297779035
230,0.5024005153162171
231,0.4202408560205172
232,0.4198119077141286
233,0.5355657785464965
234,0.6054291451777593
235,0.39545540314480754
236,0.4548595826400782
237,0.49191957893597427
238,0.44685371034163657
239,0.4555413697122229
240,0.4462919500152316
241,0.21968167376103276
242,0.4564054327829311
243,0.5205067051660212
244,0.4286994623125755
245,0.6261444562361174
246,0.6030067795173533
247,0.1790651069307283
248,0.651359571372504
249,0.5010808215280889
250,0.3232405171047912
251,0.6223326647398486
252,0.5695884314585262
253,0.36507935125268076
254,0.4512759702545204
255,0.47581552210600364
256,0.6399996396053307
257,0.6885299287563481
258,0.6107263489970571
259,0.26705864315669314
260,0.528296165703527
261,0.39412839132462896
262,0.3808646995717243
263,0.4598937335808153
264,0.34400319679642
265,0.46562372856651235
266,0.42153258143286065
267,0.6231205684809515
268,0.473035904344852
269,0.5569361388775749
270,0.7831969217965411
271,0.4837995500262705
272,0.3010090061660645
273,0.6570149203477247
274,0.5048778651534926
275,0.5497066529833399
276,0.4031846066846816
277,0.607430293540624
278,0.49359389417364063
279,0.39596649843959
280,0.4835540147045305
281,0.3212718593964826
282,0.3899682283392649
283,0.5707252821254725
284,0.48709182462928236
285,0.6404351426726376
286,0.5080576307274258
287,0.3727866747815852
288,0.43418982332712386
289,0.5601297551149698
290,0.4955994352889388
291,0.3255570331488077
292,0.6503905638841516
293,0.6029846031306912
294,0.3728829030766513
295,0.37806902834804024
296,0.3832669792793202
297,0.5021464571100307
298,0.22555501571928704
299,0.3615338643200041
300,0.624283056956827
301,0.3479354886857664
302,0.4848992533105496
303,0.5071815788742238
304,0.3063017941867142
305,0.3986646895916086
306,0.3592737216626538
307,0.5845217963213137
308,0.7939807602125859
309,0.4967712310182153
310,0.5354547452953803
311,0.3714575310583381
312,0.6266959458267825
313,0.3483270078953513
314,0.5221917012477748
315,0.7215992822077542
316,0.47942280083764777
317,0.5412303030861296
318,0.38633464013153895
319,0.7196847202268483
